		Pref-0			
فلأ	فَلِأُ	IVPref-AnA-li>u	and/so + for + me (to)	fa/CONJ+li/SUBJUNC+>u/IV1S+	
لا	لِأَ	IVPref-AnA-li>a	for + me (to)	li/SUBJUNC+>a/IV1S+	
لا	لِأُ	IVPref-AnA-li>u	for + me (to)	li/SUBJUNC+>u/IV1S+	
ولا	وَلِأَ	IVPref-AnA-li>a	and + for + me (to)	wa/CONJ+li/SUBJUNC+>a/IV1S+	
ولا	وَلِأُ	IVPref-AnA-li>u	and + for + me (to)	wa/CONJ+li/SUBJUNC+>u/IV1S+	
فلا	فَلِأَ	IVPref-AnA-li>a	and/so + for + me (to)	fa/CONJ+li/SUBJUNC+>a/IV1S+	
فلا	فَلِأُ	IVPref-AnA-li>u	and/so + for + me (to)	fa/CONJ+li/SUBJUNC+>u/IV1S+	
لآ	لِآ	IVPref-AnA-li|	for + me (to)	li/SUBJUNC+|/IV1S+	
ولآ	وَلِآ	IVPref-AnA-li|	and + for + me (to)	wa/CONJ+li/SUBJUNC+|/IV1S+	
فلآ	فَلِآ	IVPref-AnA-li|	and/so + for + me (to)	fa/CONJ+li/SUBJUNC+|/IV1S+	
لا	لِآ	IVPref-AnA-li|	for + me (to)	li/SUBJUNC+|/IV1S+	
ولا	وَلِآ	IVPref-AnA-li|	and + for + me (to)	wa/CONJ+li/SUBJUNC+|/IV1S+	
فلا	فَلِآ	IVPref-AnA-li|	and/so + for + me (to)	fa/CONJ+li/SUBJUNC+|/IV1S+	
ن	نَ	IVPref-nHn-na	we	na/IV1P+	
ن	نُ	IVPref-nHn-nu	we	nu/IV1P+	
ون	وَنَ	IVPref-nHn-na	and + we	wa/CONJ+na/IV1P+	
ون	وَنُ	IVPref-nHn-nu	and + we	wa/CONJ+nu/IV1P+	
فن	فَنَ	IVPref-nHn-na	and/so + we	fa/CONJ+na/IV1P+	
فن	فَنُ	IVPref-nHn-nu	and/so + we	fa/CONJ+nu/IV1P+	
سن	سَنَ	IVPref-nHn-na	will + we	sa/FUT+na/IV1P+	
سن	سَنُ	IVPref-nHn-nu	will + we	sa/FUT+nu/IV1P+	
وسن	وَسَنَ	IVPref-nHn-na	and + will + we	wa/CONJ+sa/FUT+na/IV1P+	
وسن	وَسَنُ	IVPref-nHn-nu	and + will + we	wa/CONJ+sa/FUT+nu/IV1P+	
فسن	فَسَنَ	IVPref-nHn-na	and/so + will + we	fa/CONJ+sa/FUT+na/IV1P+	
فسن	فَسَنُ	IVPref-nHn-nu	and/so + will + we	fa/CONJ+sa/FUT+nu/IV1P+	
لن	لِنَ	IVPref-nHn-lina	for + us (to)	li/SUBJUNC+na/IV1P+	
لن	لِنُ	IVPref-nHn-linu	for + us (to)	li/SUBJUNC+nu/IV1P+	
ولن	وَلِنَ	IVPref-nHn-lina	and + for + us (to)	wa/CONJ+li/SUBJUNC+na/IV1P+	
ولن	وَلِنُ	IVPref-nHn-linu	and + for + us (to)	wa/CONJ+li/SUBJUNC+nu/IV1P+	
فلن	فَلِنَ	IVPref-nHn-lina	and/so + for + us (to)	fa/CONJ+li/SUBJUNC+na/IV1P+	
فلن	فَلِنُ	IVPref-nHn-linu	and/so + for + us (to)	fa/CONJ+li/SUBJUNC+nu/IV1P+	
