# English-Arabic translations created from the Universal dictionary at 2010-02-01T05:09:30-07:00
# (c) Copyright 2010 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 نيسان % أبريل 	 time 
 eight ; 8 ; viii 	 ثمانية 	 number 
 eighteen ; 18 ; xviii 	 ثمانية عشر 	 number 
 eighty ; 80 ; lxxx ; fourscore 	 ثمانون 	 number 
 either 	 في أيٍ مِنهما 	 adverb 
 electric ; electrical 	 كهربائي 	 adjective 
 elementary ; simple ; uncomplicated ; unproblematic 	 بسيط 	 adjective 
 elephant 	 فيل 	 animal 
 elevator ; lift 	 مصعد 	 device 
 eleven ; 11 ; xi 	 أحد عشر 	 number 
 embrace ; encompass ; comprehend ; cover 	 احتوى 	 verb 
 encourage 	 يشجِع 	 verb 
 end ; stop ; finish ; terminate ; cease 	 أنهى 	 verb 
 end ; terminal 	 نهاية 	 abstract 
 energy ; free energy 	 طاقة 	 nature 
 engine 	 محرك 	 device 
 engineering ; engineering science ; applied science ; technology 	 هندسة تطبيقية 	 abstract 
 enhance ; heighten ; raise 	 يعزِز، يزيد جمال الشيء 	 verb 
 enjoy ; bask ; relish ; savor ; savour 	 يستمتِع بِ 	 verb 
 enough ; plenty 	 بشكل كافٍ 	 adverb 
 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 يدخل 	 verb 
 entertainment ; amusement 	 استمتاع 	 art 
 entirely ; exclusively ; solely ; alone ; only 	 وحده ; وحيداً 	 adverb 
 envelope 	 مغلف 	 object 
 environment 	 بيئة 	 nature 
 environment ; environs ; surroundings ; surround 	 بيئة 	 nature 
 equal 	 مساوي 	 adjective 
 equally ; as ; every bit 	 مثل 	 adverb 
 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 سابِق 	 adjective 
 especial ; exceptional ; particular ; special 	 خاص 	 adjective 
 establish ; found ; plant ; constitute ; institute 	 يؤسِس، يقيم، ينشِئ 	 verb 
 estimate ; gauge ; approximate ; guess ; judge 	 خمن 	 verb 
 estrus ; oestrus ; heat ; rut 	 شبق 	 nature 
 even 	 حتى 	 adverb 
 even 	 زوجي 	 adjective 
 even ; fifty-fifty 	 متساوي 	 adjective 
 evening ; eve ; even ; eventide 	 أمسية 	 time 
 event 	 حدث 	 abstract 
 every 	 كل 	 adjective 
 everybody ; everyone 	 الكل 	 pronoun 
 everything 	 كل شيء 	 pronoun 
 evidence 	 برهان 	 abstract 
 examination ; exam ; test 	 امتحان 	 communication 
 example ; illustration ; instance ; representative 	 أنموذج 	 communication 
 exceed ; transcend ; overstep ; pass ; go past ; top 	 جاوز 	 verb 
 excellent ; first-class ; fantabulous ; splendid 	 ممتاز 	 adjective 
 exist ; be 	 يوجد 	 verb 
 exit ; go out ; get out ; leave 	 يغادِر، يسافِر، يترك 	 verb 
 expect ; look ; await ; wait 	 ينتظِر 	 verb 
 experience 	 تجربة 	 communication 
 experience 	 خبرة 	 society 
 expert 	 خبير 	 profession 
 explain ; explicate 	 شرح، فسر 	 verb 
 express ; limited 	 قِطار سريع 	 transport 
 expression ; look ; aspect ; facial expression ; face 	 منظر ; مظهر 	 communication 
 eye ; oculus ; optic 	 عين 	 anatomy 
 fabric ; cloth ; material ; textile 	 ثوب 	 material 
 face ; human face 	 وجه 	 anatomy 
 fact 	 حقيقة 	 abstract 
 factory ; mill ; manufacturing plant ; manufactory 	 مصنع 	 city 
 fail ; neglect 	 يكف عن أداء وظيفتهِ 	 verb 
 fake ; false ; faux ; imitation ; simulated 	 خطأ 	 adjective 
 fall 	 سقط 	 verb 
 fall ; autumn 	 خريف 	 nature 
 false 	 خطأ 	 adjective 
 false ; mistaken 	 خطأ 	 adjective 
 family ; family unit 	 عائلة 	 family 
 family ; household ; house ; home ; menage 	 عائلة 	 family 
 far 	 بعيد 	 adjective 
 farm 	 مزرعة 	 nature 
 fast 	 سريع 	 logistics 
 fat 	 دهن 	 material 
 fat 	 سمين 	 adjective 
 father ; male parent ; begetter 	 أب 	 family 
 fatty ; fat 	 دسم 	 adjective 
 fear 	 خاف 	 verb 
 fear ; fearfulness ; fright 	 خوف 	 relations 
 feather ; plume ; plumage 	 ريش 	 object 
 feature ; characteristic 	 ميزة 	 abstract 
 feel ; experience 	 أحس 	 verb 
 feel ; sense 	 شعر 	 verb 
 feeling 	 شعور 	 communication 
 female 	 أنثى 	 adjective 
 female ; female person 	 أنثى 	 society 
 few 	 قليل 	 adjective 
 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 قليل 	 adjective 
 field 	 حقل 	 nature 
 fierce ; tearing ; vehement ; violent ; trigger-happy 	 عنيف 	 adjective 
 fifteen ; 15 ; xv 	 خمسة عشر 	 number 
 fifty ; 50 ; l 	 خمسون 	 number 
 fight ; fighting ; combat ; scrap 	 قتال 	 abstract 
 fill ; fill up ; make full 	 الملء 	 verb 
 film ; cinema ; celluloid 	 الفيلم 	 object 
 find ; regain 	 وجد 	 verb 
 finger 	 إسبع ; إصبع 	 anatomy 
 finish ; destination ; goal 	 الغاية 	 abstract 
 fire 	 حريق 	 nature 
 fire ; flame ; flaming 	 نار 	 nature 
 firm ; house ; business firm 	 شركة 	 business 
 firm ; solid 	 صلب 	 adjective 
 first 	 أول 	 adjective 
 first ; firstly ; foremost ; first of all ; first off 	 أولاً 	 adverb 
 fiscal ; financial 	 مالي 	 adjective 
 fish 	 سمك 	 animal 
 five ; 5 ; v 	 خمسة 	 number 
 fix ; prepare ; set up ; ready ; gear up ; set 	 جهز 	 verb 
 fixed 	 محدد 	 adjective 
 flag 	 علم 	 object 
 flat ; level ; plane 	 مسطح 	 adjective 
 flight ; flying 	 طيران 	 transport 
 flim-flam ; play a joke on ; play tricks ; trick ; fob ; fox ; pull a fast one on ; play a trick on 	 خدع 	 verb 
 floor ; flooring 	 أرضية 	 house 
 floor ; level ; storey ; story 	 طابق 	 house 
 flower 	 زهرة 	 nature 
 flush ; level ; even out ; even 	 سوى 	 verb 
 fly 	 ذبابة 	 animal 
 fly ; wing 	 طار 	 verb 
 fold ; crease ; plication ; flexure ; crimp ; bend 	 منحنى 	 object 
 follow 	 تبع 	 verb 
 following ; next 	 التالي 	 adjective 
 food ; nutrient 	 طعام 	 food 
 foot ; human foot ; pes 	 قدم 	 anatomy 
 football ; football game 	 لعبة كرة القدم 	 sports 
 footing ; basis ; ground 	 أساس 	 mathematics 
 footstep ; pace ; step ; stride 	 خطوة 	 mathematics 
 for 	 لأجل 	 conjunction 
 for 	 لـَ 	 preposition 
 for 	 من أجل 	 preposition 
 force ; forcefulness ; strength 	 قوة 	 abstract 
 foreign ; strange 	 غريب 	 adjective 
 forest ; wood ; woods 	 غابة 	 nature 
 forget 	 ينسى، لا يتذكر 	 verb 
 fork 	 شوكة 	 food 
 form 	 نموذج 	 society 
 form ; shape ; cast 	 شكل 	 art 
 forty ; 40 ; xl ; twoscore 	 أربعون 	 number 
 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 نحو الأمام 	 adverb 
 four ; 4 ; iv 	 أربعة 	 number 
 fourteen ; 14 ; xiv 	 أربعة عشر 	 number 
 fourth dimension ; time 	 وقت 	 physics 
 frame 	 إطار 	 object 
 free 	 حر 	 adjective 
 free ; liberate ; release ; unloose ; unloosen ; loose 	 حرر 	 verb 
 frequent 	 متكرر 	 adjective 
 frequently ; often ; oftentimes ; oft ; ofttimes 	 تِكراراً 	 adverb 
 fresh 	 طازج 	 adjective 
 friend 	 صديق 	 family 
 friendly 	 ودي 	 adjective 
 from 	 من 	 preposition 
 from 	 من 	 preposition 
 front 	 أمامي 	 adjective 
 front ; front end ; forepart 	 أمام 	 abstract 
 fruit 	 فاكهة 	 food 
 full 	 كامل ; مليء 	 adjective 
 full ; total 	 كامل 	 adjective 
 fume ; smoke 	 دخن 	 verb 
 function ; office ; part ; role 	 وظيفه، عمل 	 mathematics 
 function ; purpose ; role ; use 	 غاية 	 linguistics 
 function ; work ; operate ; go ; run 	 عمل 	 verb 
 furniture ; piece of furniture ; article of furniture 	 أثاث 	 house 
 future 	 مستقبلي 	 adjective 
 future ; hereafter ; futurity ; time to come 	 مستقبل 	 time 
 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 يخاطِر، يجازِف 	 verb 
 game 	 لعبة 	 sports 
 game 	 لعبه للإستِمتاع 	 mathematics 
 garage 	 مرآب 	 transport 
 garden 	 بستان 	 house 
 gate 	 بوابة 	 house 
 gene ; cistron ; factor 	 مورثه 	 anatomy 
 general 	 عام 	 adjective 
 general ; full general 	 لواء 	 profession 
 get ; acquire 	 حصل 	 verb 
 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 بدأ 	 verb 
 girl ; miss ; missy ; young lady ; young woman ; fille 	 بنت 	 family 
 give 	 أعطى 	 verb 
 glass 	 زجاج 	 material 
 glass ; drinking glass 	 كأس 	 food 
 glue ; gum ; mucilage 	 صمغ 	 material 
 glue ; paste 	 ألصق 	 verb 
 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 لاصق 	 adjective 
 goal 	 هدف 	 sports 
 goat ; caprine animal 	 عنزة 	 animal 
 gold ; Au ; atomic number 79 	 ذهب 	 material 
 golf ; golf game 	 غولف 	 travelling 
 good 	 جيد 	 adjective 
 good ; goodness 	 جيد 	 abstract 
 good ; sound 	 سليم 	 adjective 
 govern ; rule 	 حكم 	 verb 
 government ; authorities ; regime 	 حكومة 	 society 
 gradient ; slope 	 منحدر 	 mathematics 
 grain 	 حبيبة ; بذرة 	 material 
 grandfather ; gramps ; granddad ; grandad ; granddaddy ; grandpa 	 جد 	 family 
 grass 	 عشب 	 nature 
 gray ; grayness ; grey ; greyness 	 رمادي 	 color 
 great 	 عظيم 	 adjective 
 green ; greenish ; light-green ; dark-green 	 أخضر 	 color 
 grey ; gray ; greyish ; grayish 	 رمادي 	 adjective 
 group ; grouping 	 مجموعة 	 abstract 
 grow 	 ينمو 	 verb 
 guest ; invitee 	 ضيف ؛ مدعو 	 travelling 
 guitar 	 قيثارة 	 object 
 gun 	 سلاح 	 object 
 hair 	 شعر 	 anatomy 
 hair ; pilus 	 وبر 	 anatomy 
 hammer 	 مطرقة 	 object 
 hand ; manus ; mitt ; paw 	 يد ; كف 	 anatomy 
 handle ; grip ; handgrip ; hold 	 مقبض 	 object 
 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 فقير 	 adjective 
 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 يحدث لِ 	 verb 
 happy 	 سعيد 	 adjective 
 hash out ; discuss ; talk over 	 يناقِش، يبحث، يتباحث 	 verb 
 hat ; chapeau ; lid 	 قبعة 	 clothes 
 hate ; detest 	 كره 	 verb 
 hate ; hatred 	 كره 	 relations 
 hateful ; mean 	 خسيس، دنيء 	 adjective 
 have ; have got ; hold 	 ملك 	 verb 
 hazard ; jeopardy ; peril ; risk ; endangerment 	 مخاطرة 	 transport 
 he 	 هو 	 pronoun 
 head ; caput 	 رأس 	 anatomy 
 head ; chief ; top dog 	 رئيس 	 society 
 health 	 عافِيه 	 abstract 
 health ; wellness 	 صحة 	 medicine 
 healthy 	 صحي 	 adjective 
 healthy ; salubrious ; good for you 	 صحي 	 adjective 
 hear 	 يسمع 	 verb 
 heart ; pump ; ticker 	 قلب 	 anatomy 
 heavy 	 ثقيل 	 adjective 
 heed ; mind ; listen 	 انتبه 	 verb 
 hello ; hullo ; hi ; howdy ; how-do-you-do 	 مرحبا'مرحبًا (márħaban) 	 linguistics 
 help ; assist ; aid 	 ساعد 	 verb 
 her 	 ـها 	 pronoun 
 here 	 هنا 	 adverb 
 here ; hither 	 إلى هنا 	 adverb 
 herself 	 نفسها 	 pronoun 
 high 	 عالي 	 adjective 
 hill 	 تل 	 nature 
 him 	 ـه 	 pronoun 
 himself 	 نفسه 	 pronoun 
 his 	 ـه 	 pronoun 
 historic period ; age 	 عصر 	 time 
 history 	 تاريخ 	 society 
 hit ; hitting ; striking 	 ضرب، إصابه 	 abstract 
 hit ; smash ; smasher ; strike ; bang 	 ضربة ناجِحه، عمل ناجِح 	 art 
 hog ; pig ; grunter ; squealer ; Sus scrofa 	 خنزير 	 animal 
 hold ; take hold 	 القبضة 	 verb 
 hole 	 ثقب ; فجوة 	 abstract 
 home ; place 	 مسكن 	 house 
 homo ; man ; human being ; human 	 رجل ; إنسان 	 family 
 hook ; claw 	 خطاف 	 object 
 hope 	 رجا 	 verb 
 horse ; Equus caballus 	 حصان 	 animal 
 hospital ; infirmary 	 مستشفى 	 city 
 hot 	 حار 	 adjective 
 hotel 	 فندق 	 city 
 hotness ; heat ; high temperature 	 حرارة 	 medicine 
 hour ; hr ; 60 minutes 	 ساعة 	 time 
 house 	 بيت 	 house 
 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 رغم 	 adverb 
 human 	 إنساني 	 adjective 
 humor ; humour ; sense of humor ; sense of humour 	 دعابة 	 communication 
 hundred ; one hundred ; 100 ; c 	 مائة 	 number 
 hungry 	 جائِع ، تواق إلى 	 adjective 
 hurt ; injure 	 يؤذي، يؤلِم 	 verb 
 husband ; hubby ; married man 	 زوج 	 family 
 ice 	 ثلج 	 nature 
 ice ; water ice 	 جليد 	 material 
 idea ; thought 	 فكرة 	 communication 
 identify ; place 	 يتعرف على ، يثبِت هوية 	 verb 
 if 	 إذا 	 conjunction 
 ill ; sick 	 مريض 	 adjective 
 image 	 رأي، فِكره عامه 	 art 
 imitate ; copy ; simulate 	 قلد 	 verb 
 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 فوراً 	 adverb 
 impatient 	 غير صبور 	 adjective 
 imperial ; majestic ; purple ; regal ; royal 	 ملكي 	 adjective 
 important ; of import 	 مهم 	 adjective 
 in ; inwards ; inward 	 في 	 adverb 
 inaugural ; initiative ; initiatory ; first ; maiden 	 افتتاحي 	 adjective 
 include 	 يشمل، يشتمِل 	 verb 
 income 	 دخل، إيراد شهري 	 business 
 incorporate ; contain ; comprise 	 يحتوي 	 verb 
 incorrect ; wrong 	 خطأ 	 adjective 
 increase 	 زاد 	 verb 
 increase ; increment 	 زيادة 	 abstract 
 increase ; increment ; growth 	 نمو 	 abstract 
 indeed ; so 	 حقـا: تستعمل للتوكيد 	 adverb 
 individual 	 فرد 	 society 
 individual ; private 	 خاص، فردي 	 adjective 
 induce ; stimulate ; cause ; have ; get ; make 	 دفع 	 verb 
 industrial 	 صِناعي 	 adjective 
 industry ; manufacture 	 مصنع 	 society 
 infinitesimal ; minute 	 دقيق 	 adjective 
 information 	 معلومات 	 communication 
 information ; info 	 معلومة 	 communication 
 injure ; wound 	 جرح 	 verb 
 ink 	 حبر 	 material 
 insect 	 حشرة 	 animal 
 inside ; within 	 داخل 	 adverb 
 institution ; establishment 	 مؤسسه 	 society 
 instrument 	 أداة 	 device 
 insurance 	 تأمين 	 business 
 intelligent 	 ذكي 	 adjective 
 intend ; mean ; think 	 ينوي، يعتزِم 	 verb 
 interest 	 فائدة 	 business 
 interest ; involvement 	 اهتمام 	 communication 
 interesting 	 مهِم, * ممتِع 	 adjective 
 international 	 دولي، اممي 	 adjective 
 internet ; net ; cyberspace 	 إنترنت 	 mathematics 
 interview 	 مقابلة 	 communication 
 into 	 داخل 	 preposition 
 introduce ; present ; acquaint 	 قدم 	 verb 
 invention ; innovation ; excogitation ; conception ; design 	 اختراع 	 art 
 iron ; Fe ; atomic number 26 	 حديد 	 material 
 island 	 جزيرة 	 nature 
 issue 	 قضِيه 	 communication 
 issue ; number 	 عدد 	 mathematics 
 it 	 هو/هي - لغير العاقل 	 pronoun 
 its 	 ـه/ـها - لغير العاقل 	 pronoun 
 itself 	 نفسه/نفسها - لغير العاقل 	 pronoun 
 jacket 	 السترة 	 clothes 
 jewel ; gem ; precious stone 	 مجوهرات 	 object 
 job ; task ; chore 	 عمل 	 business 
 join ; bring together 	 جمع 	 verb 
 jolt ; jar ; jounce ; shock 	 ارتجاج 	 transport 
 journalist 	 صحفي 	 profession 
 journey ; journeying 	 رحلة 	 transport 
 judge ; justice ; jurist 	 قاضي 	 profession 
 jump ; leap ; bound ; spring 	 قفز 	 verb 
 keep ; maintain ; hold 	 حافظ 	 verb 
 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 نواة فكرة 	 abstract 
 key 	 مفتاح 	 house 
 key 	 مفتاح 	 object 
 kick 	 ركل 	 verb 
 kick ; boot ; kicking 	 ركلة 	 abstract 
 kill 	 يقتل 	 verb 
 kind 	 لطيف 	 adjective 
 kind ; sort ; form ; variety 	 نوع 	 abstract 
 king ; male monarch ; Rex 	 ملك 	 society 
 kiss ; buss ; osculation 	 تقبيل 	 relations 
 kitchen 	 مطبخ 	 house 
 knee ; knee joint ; human knee ; articulatio genus ; genu 	 ركبة 	 anatomy 
 knife 	 سكين 	 food 
 knot 	 عقدة 	 object 
 laid ; set 	 معين سلفا 	 adjective 
 lake 	 بحيرة 	 nature 
 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 أرض 	 nature 
 land ; ground ; soil 	 أرض 	 material 
 land ; set down 	 حط 	 verb 
 language ; linguistic communication 	 لغة 	 communication 
 large ; big 	 كبير 	 adjective 
 last 	 أخير 	 adjective 
 last ; lastly ; in conclusion ; finally 	 آخر واحد 	 adverb 
 late 	 متأخر 	 adjective 
 late ; belatedly ; tardily 	 متأخراً 	 adverb 
 laugh ; express joy ; express mirth 	 ضحك 	 verb 
 law 	 قانون 	 society 
 lead ; Pb ; atomic number 82 	 رصاص 	 material 
 lead ; take ; direct ; conduct ; guide 	 قاد 	 verb 
 leader 	 زعيم 	 society 
 leaf ; leafage ; foliage 	 ورق 	 nature 
 leap ; jump ; saltation 	 قفزة 	 abstract 
 learn ; larn ; acquire 	 تعلم 	 verb 
 least ; to the lowest degree 	 الأقل 	 adverb 
 leather 	 جلد 	 material 
 leave 	 يترك، يدع 	 verb 
 leave ; leave of absence 	 في إجازه، في عطله 	 society 
 left 	 يسار 	 adjective 
 leg 	 ساق 	 anatomy 
 legal 	 قانوني 	 adjective 
 let 	 ترك 	 verb 
 letter ; letter of the alphabet ; alphabetic character 	 حرف 	 linguistics 
 letter ; missive 	 رسالة 	 object 
 library 	 مكتبة 	 city 
 lie 	 يضطجِع، يتمدد 	 verb 
 lie ; prevarication 	 بهتان 	 communication 
 life 	 حياة 	 nature 
 life 	 حياه 	 time 
 light 	 خفيف 	 adjective 
 light ; lite ; low-cal ; calorie-free 	 خفيف 	 adjective 
 light ; visible light ; visible radiation 	 ضوء 	 nature 
 like 	 أحب 	 verb 
 like ; similar 	 مشابه 	 adjective 
 limit ; bound ; boundary 	 حد 	 mathematics 
 line 	 خط 	 mathematics 
 lion ; king of beasts ; Panthera leo 	 أسد 	 animal 
 lip 	 شفة 	 anatomy 
 liquid 	 سائل 	 adjective 
 liquid 	 سائل 	 nature 
 list ; listing 	 ﻻئحة 	 abstract 
 listen ; hear ; take heed 	 استمع 	 verb 
 little 	 قليلاً 	 adverb 
 load ; charge 	 يشحن ، يحشو سِلاحا نارياً 	 verb 
 local 	 محلي 	 adjective 
 lock 	 أقفل 	 verb 
 lock 	 قفل 	 house 
 long 	 طويل 	 adjective 
 long 	 طويل 	 adjective 
 look 	 رأى 	 verb 
 look ; appear ; seem 	 بدا 	 verb 
 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 مراقب 	 profession 
 lose 	 يخسر 	 verb 
 lose 	 يفقِد، يخسر 	 verb 
 loss 	 فقدان 	 business 
 loud 	 مرتفع ; صاخب 	 adjective 
 love 	 أحب 	 verb 
 love 	 حب 	 relations 
 low 	 منخفض 	 adjective 
 low ; depression 	 منخفض جوي 	 nature 
 lucky 	 محظوظ 	 adjective 
 lunch ; luncheon ; tiffin ; dejeuner 	 غداء 	 food 
 machine 	 آلة 	 device 
 magazine ; mag 	 مجلة 	 object 
 mail ; mail service ; postal service ; post 	 بريد 	 communication 
 mail ; post ; send 	 أرسل 	 verb 
 major 	 عظيم، كبير، رئيسي 	 adjective 
 majority ; bulk 	 أغلبية 	 abstract 
 make ; create 	 تسبب 	 verb 
 make ; do 	 جعل 	 verb 
 male 	 ذكر 	 adjective 
 male ; male person 	 ذكر 	 society 
 male ; manful ; manlike ; manly ; virile 	 ذكري 	 adjective 
 male child ; boy 	 ولد ; صبي 	 family 
 man ; adult male 	 رجل 	 family 
 manage ; deal ; care ; handle 	 يدير شؤون 	 verb 
 management 	 الإداره، المديرون 	 business 
 management ; direction 	 إرشاد، توجيه 	 society 
 manner ; mode ; style ; way ; fashion 	 سلوك 	 mathematics 
 many 	 كثير 	 adjective 
 map 	 خريطة 	 object 
 mark ; grade ; score 	 علامة 	 education 
 marker ; marking ; mark 	 رمز 	 abstract 
 market ; marketplace ; market place 	 سوق 	 business 
 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 زواج، حياة الزواج 	 society 
 marriage ; wedding ; marriage ceremony 	 عرس 	 family 
 married 	 متزوج 	 adjective 
 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 يتزوج 	 verb 
 mass 	 وزن 	 physics 
 master ; master copy ; original 	 النسخة الأصلِيه 	 object 
 match 	 مباراة 	 sports 
 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 طابق 	 verb 
 match ; lucifer ; friction match 	 عيدان كبريت 	 object 
 material 	 مادي 	 adjective 
 material ; stuff 	 مادة 	 material 
 matter 	 ماده 	 material 
 matter ; affair ; thing 	 أمر 	 abstract 
 me 	 ـي 	 pronoun 
 meal ; repast 	 وجبة 	 food 
 mean 	 يعني 	 verb 
 mean ; mean value 	 متوسِط 	 mathematics 
 meaning ; pregnant ; significant 	 مهِم، هام، خطير 	 adjective 
 means ; agency ; way 	 وسيلة 	 abstract 
 measure ; mensurate ; measure out 	 قاسي 	 verb 
 measure ; step 	 مقياس 	 abstract 
 measurement ; measuring ; measure ; mensuration 	 قياس 	 art 
 meat 	 لحم 	 food 
 medical 	 طبي 	 adjective 
 meet ; run into ; encounter ; run across ; come across ; see 	 يصادِف، يلتقي صدفةً 	 verb 
 meeting ; coming together 	 اجتماع 	 communication 
 member ; fellow member 	 عضو 	 society 
 memory 	 ذكرى 	 communication 
 memory ; retention ; retentiveness ; retentivity 	 ذاكرة 	 communication 
 menstruation ; menses ; menstruum ; catamenia ; period ; flow 	 حيض 	 medicine 
 mention ; advert ; bring up ; cite ; name ; refer 	 يشير إلى 	 verb 
 menu ; bill of fare ; card ; carte du jour ; carte 	 قائمة (qā'imâ''' 	 object 
 merely ; simply ; just ; only ; but 	 فقط 	 adverb 
 metallic ; metal 	 معدني 	 adjective 
 metallic element ; metal 	 معدن 	 material 
 method 	 منهج 	 mathematics 
 metro ; tube ; underground ; subway system ; subway 	 المترو 	 transport 
 midnight 	 منتصف الليل 	 time 
 might ; mightiness ; power 	 قوة 	 abstract 
 military 	 عسكري 	 adjective 
 military ; armed forces ; armed services ; military machine ; war machine 	 جيش 	 society 
 milk 	 حليب 	 food 
 milkshake ; milk shake ; shake 	 كوكتيل 	 food 
 million ; 1000000 ; one thousand thousand ; meg 	 مليون 	 number 
 mind ; head ; brain ; psyche ; nous 	 عقل 	 mathematics 
 mine 	 منجم 	 object 
 minister ; government minister 	 وزير 	 profession 
 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 متواضع 	 adjective 
 minute ; min 	 دقيقة 	 time 
 mirror 	 مرآة 	 house 
 miss 	 الرمية الخاطئة 	 verb 
 miss 	 يفوته، لا يلحق 	 verb 
 mistake ; error ; fault 	 خطأ 	 communication 
 model 	 طِراز 	 object 
 moisture ; wet 	 رطوبة 	 nature 
 moment ; minute ; second ; instant 	 لحظه 	 mathematics 
 money 	 مال 	 business 
 monkey 	 قرد 	 animal 
 month 	 شهر 	 transport 
 more ; more than 	 أكثر 	 adjective 
 more ; to a greater extent 	 أكثر (ʔakθar) 	 adverb 
 morning ; morn ; morning time ; forenoon 	 صباح 	 time 
 mother ; female parent 	 أم 	 family 
 motion ; movement ; move ; motility 	 تحرك 	 physics 
 mountain ; mount 	 جبل 	 nature 
 mouth ; oral cavity ; oral fissure ; rima oris 	 فم 	 anatomy 
 move ; displace 	 حرك 	 verb 
 movement ; motion 	 حركة 	 physics 
 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 فيلم 	 art 
 much 	 كثير 	 adjective 
 muscle ; musculus 	 عضلة 	 anatomy 
 museum 	 متحف 	 city 
 music 	 موسيقى 	 art 
 musician ; instrumentalist ; player 	 موسيقي 	 profession 
 my 	 ـي 	 pronoun 
 nail 	 ظفر 	 anatomy 
 nail 	 مسمار 	 object 
 name 	 اسم 	 linguistics 
 name ; call 	 سمى 	 verb 
 narrow 	 ضيق 	 adjective 
 nation ; land ; country 	 وطن 	 society 
 national 	 قومي، وطني 	 adjective 
 national 	 وطني 	 adjective 
 natural 	 طبيعي 	 adjective 
 natural language ; tongue 	 لغه 	 linguistics 
 nature 	 الطبيعه 	 nature 
 near ; close ; nigh 	 قريب 	 adjective 
 necessary 	 ضروري 	 adjective 
 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 احتاج 	 verb 
 neck ; cervix 	 عنق 	 anatomy 
 necktie ; tie 	 ربطة عنق 	 clothes 
 need ; demand 	 حاجة 	 abstract 
 needle 	 إبرة 	 medicine 
 neighbor ; neighbour 	 جار 	 family 
 nerve ; nervus 	 عصب 	 anatomy 
 net ; network ; mesh ; meshing ; meshwork 	 شبكة 	 material 
 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 صافي 	 business 
 nether ; under 	 تحت 	 adjective 
 never 	 ابداً 	 adverb 
 new 	 جديد 	 adjective 
 news ; intelligence ; tidings ; word 	 خبر 	 society 
 newspaper ; paper 	 صحيفة 	 object 
 nice 	 جميل 	 adjective 
 night ; nighttime ; dark 	 ليل 	 nature 
 nine ; 9 ; ix 	 تسعة 	 number 
 nineteen ; 19 ; xix 	 تسعة عشر 	 number 
 ninety ; 90 ; xc 	 تسعون 	 number 
 no 	 غير 	 adjective 
 no 	 لا 	 abstract 
 noise ; dissonance ; racket 	 ضجيج 	 society 
 nor 	 وﻻ 	 conjunction 
 normal 	 عادي 	 adjective 
 normally ; usually ; unremarkably ; commonly ; ordinarily 	 عادةً 	 adverb 
 north 	 شمالي 	 adjective 
